number	title	pageid	namespace	length	touched
83	Erasable_Programmable_Read-Only_Memory	1296		9502	20230730080745
84	Enigma_(Maschine)	1298		171435	20230904082017
85	Electrically_Erasable_Programmable_Read-Only_Memory	1301		10563	20210510073500
86	Eiffelturm	1329		199057	20230822133016
87	Entropiekodierung	1330		10991	20230301194045
88	European_Article_Number	1354		11729	20230802162009
89	ETH_Zürich	1391		45642	20230910003953
90	El_Torito	1397		2073	20230425145753
91	Euklidischer_Algorithmus	1409		31703	20230601142546
92	Emulator	1417		27437	20230831204814
93	E-Netz	1442		5438	20230225135339
94	Edsger_W._Dijkstra	1446		8787	20230710113254
95	Freeware	1559		9302	20230219204959
96	Fraktal	1564		22518	20230728212945
97	Free_Software_Foundation	1639		9341	20221215233924
98	Fourier-Analysis	1652		34662	20230212150243
99	Beurteilung_eines_binären_Klassifikators	1654		51560	20230910110038
100	FreeDOS	1703		21041	20230210154949
101	Frequenz	1706		10954	20230630065747
102	File_Transfer_Protocol	1720		12422	20230804165559
103	Formale_Sprache	1732		19091	20230404213934
104	File	1734		7680	20220319152346
105	File_Allocation_Table	1735		59701	20230719194700
106	Gottfried_Wilhelm_Leibniz	1831		114215	20230904144115
107	Garbage_Collection	1832		36973	20230806112642
108	Graphentheorie	1852		19548	20230604162133
109	GNU-Lizenz_für_freie_Dokumentation	1898		11333	20221214213350
110	Genetischer_Algorithmus	1918		122	20201001132717
111	Grafikkarte	2035		44136	20230822063942
112	Global_System_for_Mobile_Communications	2061		76594	20230607014334
113	General_Packet_Radio_Service	2062		14185	20220210221335
114	GNU-Projekt	2069		9212	20201102035421
115	GNU_General_Public_License	2071		50785	20230508011949
116	Hypertext	2151		27349	20230705121846
117	Hypertext_Markup_Language	2178		30029	20230811133110
118	Hypertext_Transfer_Protocol	2179		37103	20230726214022
119	Hardware	2182		10696	20230907094611
120	Haar-Wavelet	2206		11022	20210123093432
121	Heinrich_Hertz	2253		22380	20230908074610
122	Hypertext_Transfer_Protocol_Secure	2267		28656	20230729140942
123	Hexadezimalsystem	2282		27712	20230617214549
124	High_Speed_Circuit_Switched_Data	2312		4338	20230113213706
125	Informatik	2335		58759	20230908092853
126	Internet_Relay_Chat	2363		16615	20230625180014
127	Instant_Messaging	2373		10575	20230810061217
128	Informationstheorie	2375		9927	20230317161948
129	Information	2376		67853	20230905073241
130	ISO_9660	2385		11987	20230506194420
131	IA-32	2409		16674	20230730221238
132	IP-Adresse	2412		37053	20230725113050
133	IBM	2416		44865	20230719203034
134	INTERCAL	2418		7196	20221115092317
135	ICQ	2419		28555	20230907144935
136	Internationale_Telefonvorwahl	2447		4374	20230903000239
137	JavaScript	2512		65352	20230727105325
138	JPEG	2568		31742	20230524213403
139	Konrad_Zuse	2622		53284	20230830142903
140	Kernel_(Betriebssystem)	2627		8411	20221210205848
141	Krankenhausinformationssystem	2651		17686	20230710053316
142	Künstliche_Intelligenz	2653		114803	20230905022836
143	Kontrolliertes_Vokabular	2685		3061	20210729132744
144	KDE	2693		23571	20230529114128
145	Kryptographie	2694		28903	20230828050305
146	Kryptologie	2695		4892	20221112205530
147	Komplexität_(Informatik)	2720		10433	20230707083126
148	K56flex	2797		817	20160203162630
149	Kylix_(Entwicklungsumgebung)	2801		2500	20200523155201
150	Kommandozeileninterpreter	2819		7990	20221102073409
151	Lisp	2923		18817	20230601092807
152	Hyperlink	2924		18514	20221113123353
153	Linux	2951		66441	20230911024243
154	Ländervorwahlliste_sortiert_nach_Nummern	2958		17005	20230823085150
155	Ländervorwahlliste_sortiert_nach_Ländern	2959		8707	20230418134838
156	Leonhard_Euler	3024		163849	20230909204252
157	LaTeX	3034		43332	20230726064212
158	Local_Area_Network	3064		11120	20230725113326
159	Morsecode	3168		49838	20230826172251
160	Mikroprozessor	3176		53437	20230809211052
161	Mailingliste	3183		9235	20230629155039
162	Monoid	3217		10759	20230611153438
163	MS-DOS	3226		46519	20230611104644
164	Microsoft	3227		123192	20230808101253
165	Mikrocontroller	3246		20038	20230726110905
166	Mustererkennung	3247		13853	20230522094546
167	Mac_OS_(Apple)	3249		59171	20230729085807
168	Macintosh	3256		33456	20230822101928
169	Mac_OS_(Classic)	3257		26730	20230803213141
170	Multics	3331		5294	20230218220348
171	Message-Digest_Algorithm_5	3343		25712	20230905132820
172	Minix_(Betriebssystem)	3354		11408	20230726120012
173	Modem	3365		27380	20230505124531
174	Mailbox_(Computer)	3369		15835	20230725193121
175	MMIX	3389		8033	20220922190346
176	Makro	3394		6248	20230209121511
177	Moving_Picture_Experts_Group	3403		8489	20230901125454
178	Maschinensprache	3405		23898	20230421084416
179	Master_Boot_Record	3420		52892	20230718064637
180	Midnight_Commander	3469		3731	20230413102942
181	Nupedia	3525		5342	20230521180525
182	Neuronales_Netz	3539		13098	20230731071143
183	Newsgroup	3540		4106	20230620185744
184	Napster	3549		6152	20230606185653
185	OPENSTEP	3555		33644	20230723160913
186	Netzwerk	3616		46049	20230624180322
187	Niklaus_Wirth	3620		9960	20230131194330
188	Newsreader_(Usenet)	3622		4748	20230725114156
189	Norbert_Wiener	3636		35024	20230828185053
190	Noam_Chomsky	3678		77200	20230905111558
191	Onlinespiel	3723		7010	20230725104044
192	One_Time_Programmable	3732		4028	20230411105251
193	One-Time-Pad	3737		26721	20230311181121
194	Oberon_(Programmiersprache)	3758		11859	20230619185708
195	OSI-Modell	3761		28690	20230825081035
196	Objektdatenbank	3787		7227	20230413100234
197	Apache_OpenOffice	3807		74046	20230811075852
198	Personal_Computer	3819		78614	20230905113132
199	Programmiersprache	3836		31086	20230904091815
200	Zeittafel_der_Programmiersprachen	3841		20296	20230604001753
201	Java_(Programmiersprache)	3912		52620	20230809062429
202	Plankalkül	3924		4233	20230505133825
203	Programmable_Read-Only_Memory	3933		2320	20201120201853
204	Perl_(Programmiersprache)	3960		64652	20230811135556
205	Pascal_(Programmiersprache)	3963		34214	20230827204505
206	Prolog_(Programmiersprache)	3965		36671	20220225065449
207	Peer-to-Peer	3987		9171	20221117125823
208	Portable_Network_Graphics	4052		22578	20230724103713
209	Partitionstabelle	4102		15539	20230105135819
210	PHP	4165		36711	20230809142146
211	Quelltext	4192		9904	20221129164610
212	Relais	4294		46143	20230815105731
213	Radar	4303		33920	20230831104315
214	RSA-Kryptosystem	4327		43374	20230908063854
215	Richard_Stallman	4346		28237	20230820100754
216	ROT13	4352		9721	20230823094000
217	Raytracing	4358		43209	20230811103842
218	Regulärer_Ausdruck	4366		42079	20230909123548
219	REXX	4402		8928	20210329113147
220	Rekursion	4403		29301	20230809220229
221	Rekursives_Akronym	4404		8033	20230803103631
222	Scanner_(Datenerfassung)	4439		18070	20221010074654
223	Steve_Jobs	4493		48049	20230821184926
224	Split_Screen	4501		9586	20220325182929
225	Stasi-Unterlagen-Gesetz	4535		12062	20230720162114
226	Software	4574		41373	20211031155619
227	SNOBOL4	4582		2333	20220526080623
228	Suchmaschine	4615		28658	20230831125052
229	Scheduling	4656		14502	20210709084636
230	Slackware	4657		17687	20220808053232
231	Steve_Wozniak	4669		27029	20230427152522
232	Scalable_Vector_Graphics	4674		61625	20230802131139
233	Schnelle_Wavelet-Transformation	4707		4467	20190622200127
234	Schwingkreis	4726		31448	20230215122155
235	Schlüssel_(Kryptologie)	4728		8278	20230303141302
236	Smalltalk_(Programmiersprache)	4834		31335	20230519221410
237	Sed_(Unix)	4844		21279	20230813151321
238	SQL	4870		50467	20230816134810
239	Feststelltaste	4872		5286	20230713153716
240	Super_Video_Graphics_Array	4876		1655	20210820211539
241	Digitaler_Signalprozessor	4901		16160	20230304104910
242	Skriptsprache	5009		16516	20230723160926
243	Spielkonsole	5017		36185	20230607041548
244	Total-Quality-Management	5027		11584	20230829111726
245	Tcl	5114		20585	20220510051201
246	Telnet	5115		10344	20230616074445
247	Tux_(Maskottchen)	5134		11156	20230605124031
248	Transformationskodierung	5150		1397	20190111171835
249	Türme_von_Hanoi	5183		27591	20230724132838
250	Top-Level-Domain	5192		46519	20230824223628
251	Turing_Award	5201		33534	20230809064145
252	TWAIN	5205		4692	20230825125515
253	Turingmaschine	5207		38793	20230808123644
254	Tetris	5211		36313	20230820183706
255	Transaktionsnummer	5213		68213	20230727014052
256	Tastatur	5220		53361	20230910103359
257	TeX	5261		48769	20230715105648
258	Thesaurus	5294		13451	20230811155510
259	Unicode	5311		62251	20230910182502
260	Unix	5367		31574	20230828145512
261	UTF-8	5369		40448	20230907153242
262	Vier-Spezies-Maschine	5402		5920	20220831100717
263	Virtueller_Agent	5403		695	20200502140437
264	Virtuelle_Realität	5404		41690	20230725110536
265	Virtuelle_Maschine	5406		13277	20211201192945
266	V.90	5444		7157	20230419095153
267	Vier-Farben-Satz	5468		25941	20230613155543
268	Voynich-Manuskript	5478		70071	20230826182145
269	Wiki	5553		42255	20230728101014
270	World_Wide_Web	5565		24421	20230414191749
271	Microsoft_Windows_95	5574		30275	20230908183324
272	Microsoft_Windows_98	5575		18653	20230802132349
273	Microsoft_Windows_Millennium_Edition	5578		20571	20220525204652
274	Microsoft_Windows_NT	5579		18113	20230507115029
275	Microsoft_Windows_2000	5580		50385	20230619115526
276	Microsoft_Windows_XP	5581		77146	20230818171001
277	Wasserzeichen	5605		23087	20230103171201
278	Wavelet	5618		9645	20230606155321
279	Wavelet-Transformation	5624		16141	20230509141552
280	Wavelet-Kompression	5626		3417	20230430184756
281	Wissen	5664		112064	20230801145842
282	WYSIWYG	5671		9201	20220916115158
283	Wget	5672		3941	20210502183124
284	Walter_Bruch	5681		10574	20230103181631
285	RIFF_WAVE	5694		12942	20220730143750
286	Wahrheitstabelle	5717		16171	20221124141711
287	Extensible_Markup_Language	5730		27724	20230130204934
288	XSL_Transformation	5733		21859	20230107223606
289	Extensible_Stylesheet_Language	5734		4631	20210128021550
290	XML_Schema	5736		26837	20230803132742
291	Extended_Graphics_Array	5739		4045	20210820054417
292	Zwischenablage	5795		26607	20230802112917
293	Zeichenkette	5799		28302	20230227140535
294	2001:_Odyssee_im_Weltraum	5987		195612	20230831054818
295	42_(Antwort)	6011		13048	20230827130723
296	Intel_80386	7313		22609	20230724161650
297	Game_Boy	7636		35191	20230902213208
298	Genom	7839		22458	20230804072355
299	Xbox	7861		15839	20230624163502
300	Laserdisc	7862		24312	20230125211245
301	DVD	7903		55047	20230721103502
302	Intrusion_Detection_System	8103		8186	20230703074502
303	Firewall	8104		76186	20230901090215
304	Implementierung	8241		2621	20230102155807
305	Roboter	8334		46167	20230611131338
306	Compilerbau	8338		3633	20230512091522
307	E-Learning	8449		67224	20230602115709
308	XPath	8468		12109	20230413070635
309	GNU_Compiler_Collection	8474		16109	20221001154150
310	Liste_von_Algorithmen	8578		9620	20230531173605
311	Carl_von_Ossietzky	8612		68312	20230903154936
312	Code	8614		16580	20230325181752
313	Finite-Elemente-Methode	8745		57452	20230811062214
314	RPM_Package_Manager	8747		13503	20210927175300
315	Java_Virtual_Machine	8748		11005	20220201115824
316	Header	8770		3175	20230323103240
317	Killfile	8776		3313	20220309091135
318	Manpage	8782		7432	20210410113133
319	Quicksort	8873		26975	20230831212325
320	Schnelle_Fourier-Transformation	8876		26400	20230822032114
321	Pseudonym	8907		30420	20230904013021
322	Internet_Protocol	8936		13692	20230908175947
323	Emacs	8940		15837	20230822212105
324	ELIZA	8965		10094	20230827175150
325	Plenk	9003		10803	20230101132403
326	Quantencomputer	9035		68688	20230822055932
327	Gödelscher_Unvollständigkeitssatz	9077		35166	20220928115856
328	Paul_Erdős	9081		20524	20230526135247
329	Feldbus	9088		15456	20230404124655
330	Bill_Gates	9090		39764	20230803104203
331	ASCII-Art	9139		17851	20230402104157
332	Extended_Binary_Coded_Decimal_Interchange_Code	9153		27909	20230901163623
333	Frequenzband	9343		42668	20230525193314
334	Endlicher_Automat	9519		16590	20230911085733
335	Disassembler	9599		4772	20221125155734
336	IIOP	9600		1534	20220705074704
337	X86-Prozessor	9605		12002	20230910110856
338	Accelerated_Graphics_Port	9611		18917	20230615105621
339	Direct_Memory_Access	9613		11696	20230322114237
340	Tk_(Toolkit)	9703		10400	20221214202515
341	Umgekehrte_polnische_Notation	9717		20735	20230117150035
342	Klasse_(Objektorientierung)	9733		14356	20230424104207
343	Metafont	10178		9268	20220112154319
344	High_Performance_File_System	10193		4326	20230629214128
345	OS/2	10197		70102	20230813102331
346	Dokumenttypdefinition	10198		14412	20230412174317
347	Resource_Description_Framework	10202		13985	20230206170255
348	Mozilla_Application_Suite	10209		11699	20230602160514
349	Netscape_Navigator	10212		12191	20221220170535
350	Wireless_Application_Protocol	10216		10106	20230420101853
351	Extensible_Hypertext_Markup_Language	10218		24246	20230720171014
352	Dateiname	10220		31863	20230408075850
353	Galeon	10223		2842	20211223184736
354	Netiquette	10226		13057	20230801155721
355	Stylesheet-Sprache	10323		2255	20230502005131
356	Gnome	10425		47789	20230713070758
357	Point-to-Point_Protocol	10492		14361	20230630234859
358	Switch_(Netzwerktechnik)	10501		38826	20230830091220
359	Chaos_Computer_Club	10524		50021	20230817211925
360	Defacement	10655		2549	20220328142657
361	RSS_(Web-Feed)	10700		15872	20230717172246
362	Androide	10705		18201	20230910142442
363	Chaos_Communication_Congress	10767		22691	20230226174910
364	Überwachung	10776		49279	20230818172057
365	Lochkarte	10962		49098	20230910185814
366	Elektronische_Signatur	11111		45784	20230806202733
367	John_von_Neumann	11139		51953	20230815112841
368	Repeater	11341		12274	20230815191703
369	Church-Turing-These	11390		5386	20220926085307
370	Ontologie_(Informatik)	11461		22742	20230829104131
371	Wissensrepräsentation	11467		3966	20220820093959
372	Jargon_File	11611		10486	20230513205940
373	Spezifische_Absorptionsrate	11669		6363	20220314092235
374	Dateinamenserweiterung	11682		11169	20230402034344
375	Knoppix	11690		21351	20220527075102
376	Fli4l	11691		8064	20230311114812
377	Künstliches_Leben	11692		50623	20230806075646
378	Router	11693		27332	20230829114638
379	Ethernet	11695		94635	20230801115415
380	CAD	11698		71523	20230516183447
381	Red_Hat_Linux	11711		7243	20221203171009
382	OpenSUSE	11713		76635	20230619120333
383	Linux_From_Scratch	11715		9168	20220906174552
384	Privatsphäre	11716		22317	20230820214133
385	United_Linux	11717		2606	20151014185446
386	CATIA	11719		10406	20230716175730
387	Entwurfsmuster	11799		20547	20230717152437
388	Mordechai_Vanunu	11857		13474	20230311072107
389	Commodore_128	11875		451045	20230902062018
390	Wau_Holland	11877		11704	20230823140546
391	Daemon	11906		11616	20221125193414
392	NTFS	11917		26234	20230127160220
393	Atari_ST	11979		36469	20230822134632
394	Antennenfernsehen	11982		9211	20230628142539
395	Kabelfernsehen	11983		93688	20230829090704
396	Satellitenrundfunk	11984		14970	20221025165622
397	Digitales_Fernsehen	11987		36828	20230806122622
398	FreeBSD	12066		63516	20230725202757
399	Kanal_(Informationstheorie)	12092		8495	20230322161021
400	Hauptplatine	12099		15973	20230831204905
401	Semantisches_Netz	12134		12748	20230429200442
402	Open_Source	12140		47243	20230907120136
403	Textverarbeitung	12222		25296	20230802131330
404	AbiWord	12243		4496	20230906133321
405	Frequenzmodulation	12300		28277	20230429144918
406	Amplitudenmodulation	12304		26095	20230830124612
407	DJ	12351		31531	20230810115657
408	Antenne	12386		64617	20230903082621
409	Liste_von_BASIC-Dialekten	12396		33746	20230526154704
410	Dateiverknüpfung	12430		6744	20230115161223
411	PureBasic	12475		8233	20230910140646
412	Digital_Imaging_and_Communications_in_Medicine	12521		29768	20221202133241
413	Analytical_Engine	12527		8644	20230115035025
414	Jakarta_Servlet	12546		7540	20220515111023
415	Diskette	12604		48689	20230725043755
416	Polybios	12608		21817	20230221203246
417	Central_Intelligence_Agency	12695		97798	20230907124946
418	AIX	12735		10308	20221028150414
419	Unix-Kommando	12739		24503	20230726104133
420	Server_(Software)	12778		7145	20230725114531
421	Client	12779		5606	20230904090127
422	Webserver	12780		16433	20230729182810
423	Alan_Cox	12798		6115	20211229190834
424	The_Qt_Company	12839		10441	20230908135907
425	Integrierte_Entwicklungsumgebung	12841		9754	20230509001057
426	Spiegelverkehrtes_Bild	12843		1277	20220222101723
427	Vladimir_Zworykin	12852		5942	20210608134729
428	Ferdinand_Braun	12859		21971	20230628100707
429	Online	12907		8047	20230725160609
430	TOS_(Betriebssystem)	12979		21991	20230218074146
431	EPOC	12986		4817	20230910144006
432	Request_for_Comments	13001		18658	20230713170533
433	Netzwerkprotokoll	13005		14165	20230413103115
434	MIDI	13016		86908	20230909220128
435	Entropie_(Informationstheorie)	13036		24607	20230227103220
436	Einfacher_Graph	13122		2514	20201217132951
437	Ungerichteter_Graph	13123		106	20131026115419
438	Unendlicher_Graph	13125		4110	20230611202957
439	Schleifenfreier_Graph	13127		67	20120925144304
440	Multigraph	13131		118	20201006154914
441	Hypergraph	13138		116	20201006154304
442	Knotengefärbter_Graph	13139		897	20210503164207
443	Kantengefärbter_Graph	13141		682	20230607224617
444	Knotengewichteter_Graph	13142		602	20150327084241
445	C’t	13167		20484	20230623102016
446	Gzip	13181		14485	20230905104521
447	MP3	13185		47504	20230727073747
448	Weg_(Graphentheorie)	13192		14531	20220321221453
449	Hamiltonkreisproblem	13201		12486	20230331144421
450	Hamiltonscher_Graph	13205		166	20220305161936
451	Eulerkreisproblem	13207		26696	20230530194148
452	Eulerscher_Graph	13208		146	20210422081243
453	Knoten_(Graphentheorie)	13254		5016	20221119184227
454	Kante_(Graphentheorie)	13256		5414	20230409100323
455	Gerichtete_Kante	13257		142	20210417114708
456	Ungerichtete_Kante	13258		144	20210420074142
457	Mehrfachkante	13260		139	20210417122828
458	Hyperkante	13262		133	20201006174210
459	Borland	13276		10407	20230627092635
460	Turbo_Pascal	13313		13540	20221230135511
461	Zeitreihenanalyse	13349		19973	20230907085332
462	Abtastung_(Signalverarbeitung)	13350		16114	20230820044621
463	Nyquist-Shannon-Abtasttheorem	13352		24764	20230823100305
464	Claude_Shannon	13356		16324	20230802131419
465	1/f-Rauschen	13409		8143	20230827135550
466	Rauschen_(Physik)	13412		15180	20221026222558
467	Weißes_Rauschen	13413		9492	20230827112118
468	Zellulärer_Automat	13470		15302	20230810202440
469	Conways_Spiel_des_Lebens	13472		36483	20230606102943
470	QBasic	13528		6636	20230504190820
471	Dijkstra-Algorithmus	13547		28245	20230711084914
472	Multimenge	13577		16603	20230203124933
473	Grad_(Graphentheorie)	13584		9443	20210224213428
474	Minimalgrad	13596		123	20210419065330
475	Maximalgrad	13597		121	20210419064036
476	Isolierter_Knoten	13599		141	20210420074254
477	Ausgangsgrad	13600		141	20210419063426
478	Eingangsgrad	13601		141	20210419063428
479	Massachusetts_Institute_of_Technology	13626		36343	20230906132653
480	Vi	13633		7164	20230530153300
481	Python_(Programmiersprache)	13638		63565	20230808135629
482	Multitasking	13690		15284	20230823170353
483	Softwareseitiges_Multithreading	13691		2775	20190514131814
484	Teilgraph	13733		4895	20230414135924
485	Kolmogorow-Komplexität	13743		5628	20210112212811
486	Zusammenhang_(Graphentheorie)	13746		12205	20221213112857
487	Nachricht	13759		5739	20230522001556
488	Alexander_Bain_(Uhrmacher)	13818		3395	20230530033843
489	Gewicht_(Graphentheorie)	13863		897	20191015082440
490	Kantengewichteter_Graph	13864		2145	20221119184311
491	Wald_(Graphentheorie)	13870		2716	20200130213736
492	Spannbaum	13871		12819	20230408202913
493	Bluetooth	13889		60614	20230908190640
494	Knotenzahl	13942		992	20230420182731
495	Kantenzahl	13943		11489	20230420182256
496	Durchmesser_(Graphentheorie)	13946		140	20210422075239
497	Integrated_Services_Digital_Network	14122		46116	20230418160411
498	Qubit	14143		37954	20230520162742
499	Print-on-Demand	14185		10875	20230629224603
500	Matching_(Graphentheorie)	14410		44858	20230729134022
501	Knotenüberdeckung	14411		6146	20230614205022
502	Stabilitätszahl	14413		145	20210419203525
503	Größte_stabile_Menge	14414		151	20210419202220
504	Maximale_stabile_Menge	14415		113	20210419202027
505	Cliquenzahl	14417		124	20210419183504
506	Größte_Clique	14418		154	20210419183323
507	Maximale_Clique	14419		124	20210419183034
508	Adjazenzliste	14446		8328	20220916205034
509	Freie_Software	14511		81988	20230902055730
510	Chromatische_Zahl	14543		1371	20210309142922
511	Kantenfärbung	14550		10706	20221008114222
512	K-partiter_Graph	14554		3823	20200512020519
513	Wärmerauschen	14568		58634	20230219180145
514	Bildschirm	14609		10871	20230506073711
515	Personal_Computer_Memory_Card_International_Association	14611		2538	20230827080206
516	Flüssigkristallanzeige	14617		59745	20230906113832
517	Kathodenstrahlröhrenbildschirm	14619		11944	20230624165925
518	Short_Message_Service	14668		43735	20230628084414
519	Dynamic_Host_Configuration_Protocol	14670		24103	20230910203438
520	Embarcadero_Delphi	14671		45002	20230516222502
521	Rapid_Application_Development	14672		3472	20230107200205
522	Interpreter	14697		14258	20221118205829
523	Komplexitätstheorie	14705		53881	20230715183013
524	GNUstep	14724		9200	20221017154010
525	Blitz_Basic	14748		14524	20230123143933
526	Microsoft_Access	14785		15206	20230725201336
527	MySQL	14786		43285	20230722101738
528	Präsentationsprogramm	14816		9515	20230807092313
529	Konqueror	14863		15965	20230618170532
530	Opera_(Browser)	14865		90802	20230822165056
531	Kubischer_Graph	14884		1960	20200228213327
532	Knotenüberdeckungszahl	14929		157	20210419202955
533	RGB-Farbraum	14949		60274	20230809214602
534	Reduced_Instruction_Set_Computer	15058		24968	20221108120726
535	Complex_Instruction_Set_Computer	15060		2364	20221001175830
536	Lexikalische_Analyse	15182		3124	20230905095333
537	Briefgeheimnis	15202		13056	20230828050058
538	Vollständiger_Graph	15210		3302	20211106154507
539	Internet_Message_Access_Protocol	15232		23697	20230725114750
540	Durchlaufbarkeit_von_Graphen	15238		2883	20130903165326
541	Problem_des_Handlungsreisenden	15243		58798	20230416123159
542	Simple_DirectMedia_Layer	15258		19379	20230808075506
543	Wine	15341		13141	20230713101421
544	Loki_Software	15357		11758	20230506162910
545	Programmierschnittstelle	15358		9846	20221229081543
546	Dümmster_anzunehmender_User	15422		5883	20230609094409
547	OpenBSD	15423		43607	20230701163645
548	NetBSD	15425		16559	20221220163657
549	Post_Office_Protocol	15431		11127	20230828182942
550	Datenstruktur	15455		15734	20230506083847
551	Microsoft_Windows_3.0	15460		17614	20230618202702
552	Bundeszentrale_für_Kinder-_und_Jugendmedienschutz	15463		35386	20230824143713
553	Darwin_(Betriebssystem)	15472		32279	20230812071340
554	World_Wide_Web_Consortium	15519		22801	20230809104738
555	Dispatcher	15553		9170	20230601005155
556	QCad	15554		4837	20220823085916
557	Datensicherung	15579		43521	20230828152312
558	Bruce_Schneier	15585		8938	20220619173206
559	Microsoft_Windows_2.x	15590		13268	20230113115412
560	Unified_Modeling_Language	15606		42649	20230724080143
561	Concurrent_Versions_System	15623		7773	20221116110402
562	Graphenoperation	15664		147	20210419094209
563	Isomorphie_von_Graphen	15671		6595	20221113195356
564	CP/M	15701		23093	20230113115738
565	Faksimile	15705		7348	20230814194518
566	Bluetooth_Special_Interest_Group	15755		1627	20201222051715
567	Transceiver	15760		6279	20230123184257
568	Sieb_des_Eratosthenes	15818		6601	20230324092333
569	Pseudocode	15820		9528	20230415224524
570	Europäischer_Installationsbus	15828		518	20230603055225
571	Badesalz_(Comedy)	15862		7224	20230820210152
572	HP-UX	15886		8448	20230105110229
573	Startknoten_einer_Kante	15928		137	20210419091738
574	Endknoten_einer_Kante	15929		137	20210419091730
575	Peripheral_Component_Interconnect	15932		32880	20221005161120
576	Industry_Standard_Architecture	15933		8783	20221112201238
577	FireWire	15935		20787	20230619081303
578	IMac	15938		61818	20230901224309
579	Binärbaum	15972		42046	20230627202211
580	AMD	15976		29216	20230717190608
581	Memory_Stick	15988		14304	20230602114701
582	COBOL	16035		30788	20230817134320
583	Oekonux	16046		2556	20190622205405
584	Blätter_und_innere_Knoten_in_der_Graphentheorie	16049		5871	20210117090126
585	Dateiattribut	16079		5943	20221124133011
586	Herman_Hollerith	16200		10423	20221126140918
587	Stapelverarbeitung	16219		9578	20230715204730
588	Qt_(Bibliothek)	16282		67221	20230619163049
589	KDevelop	16283		8568	20220402115235
590	Indymedia	16335		55674	20230909194350
